Year,Max_close,Min_close,Avg_close,Med_close,Yr_open,Yr_end,P_yr,Max_date,Min_date
2000,1520.77001953125,1264.739990234375,1430.7012475331624,1442.0,1508.52001953125,1320.280029296875,,2000-09-01 00:00:00-04:00,2000-12-20 00:00:00-05:00
2001,1373.72998046875,965.7999877929688,1194.1789944556451,1190.5399780273438,1283.27001953125,1148.0799560546875,-13.042693172742597,2001-01-30 00:00:00-05:00,2001-09-21 00:00:00-04:00
2002,1172.510009765625,776.760009765625,993.934804038396,971.0900268554688,1154.6700439453125,879.8200073242188,-23.365963957103567,2002-01-04 00:00:00-05:00,2002-10-09 00:00:00-04:00
2003,1111.9200439453125,800.72998046875,965.227539789109,986.0299987792969,909.030029296875,1111.9200439453125,26.38039993281984,2003-12-31 00:00:00-05:00,2003-03-11 00:00:00-05:00
2004,1213.550048828125,1063.22998046875,1130.6494445800781,1126.760009765625,1108.47998046875,1211.9200439453125,8.993452410946762,2004-12-30 00:00:00-05:00,2004-08-12 00:00:00-04:00
2005,1272.739990234375,1137.5,1207.2294432624938,1204.1000366210938,1202.0799560546875,1248.2900390625,3.0010226581274932,2005-12-14 00:00:00-05:00,2005-04-20 00:00:00-04:00
2006,1427.0899658203125,1223.68994140625,1310.4612356239106,1296.06005859375,1268.800048828125,1418.300048828125,13.619431738260698,2006-12-15 00:00:00-05:00,2006-06-13 00:00:00-04:00
2007,1565.1500244140625,1374.1199951171875,1477.18434222096,1476.27001953125,1416.5999755859375,1468.3599853515625,3.5295730663479623,2007-10-09 00:00:00-04:00,2007-03-05 00:00:00-05:00
2008,1447.1600341796875,752.4400024414062,1220.042055635113,1289.18994140625,1447.1600341796875,903.25,-38.485793060906715,2008-01-03 00:00:00-05:00,2008-11-20 00:00:00-05:00
2009,1127.780029296875,676.530029296875,948.046387929765,939.14501953125,931.7999877929688,1115.0999755859375,23.454190488340714,2009-12-28 00:00:00-05:00,2009-03-09 00:00:00-04:00
2010,1259.780029296875,1022.5800170898438,1139.9655124724857,1136.9849853515625,1132.989990234375,1257.6400146484375,12.782713853760178,2010-12-29 00:00:00-05:00,2010-07-02 00:00:00-04:00
2011,1363.6099853515625,1099.22998046875,1267.6388094463045,1281.89501953125,1271.8699951171875,1257.5999755859375,-0.003183666393693157,2011-04-29 00:00:00-04:00,2011-10-03 00:00:00-04:00
2012,1465.77001953125,1277.06005859375,1379.3541596679688,1383.6699829101562,1277.06005859375,1426.18994140625,13.405690926621045,2012-09-14 00:00:00-04:00,2012-01-03 00:00:00-05:00
2013,1848.3599853515625,1457.1500244140625,1643.7989681183346,1650.4049682617188,1462.4200439453125,1848.3599853515625,29.601249573324356,2013-12-31 00:00:00-05:00,2013-01-08 00:00:00-05:00
2014,2090.570068359375,1741.8900146484375,1931.3761097741506,1937.3500366210938,1831.97998046875,2058.89990234375,11.39063378674811,2014-12-29 00:00:00-05:00,2014-02-03 00:00:00-05:00
2015,2130.820068359375,1867.6099853515625,2061.0677412729415,2079.39501953125,2058.199951171875,2043.93994140625,-0.7265997205823517,2015-05-21 00:00:00-04:00,2015-08-25 00:00:00-04:00
2016,2271.719970703125,1829.0799560546875,2094.6512640090214,2104.10498046875,2012.6600341796875,2238.830078125,9.535022667283645,2016-12-13 00:00:00-05:00,2016-02-11 00:00:00-05:00
2017,2690.159912109375,2257.830078125,2449.076379054096,2436.10009765625,2257.830078125,2673.610107421875,19.419965523287917,2017-12-18 00:00:00-05:00,2017-01-03 00:00:00-05:00
2018,2930.75,2351.10009765625,2746.214183305839,2743.14990234375,2695.81005859375,2506.85009765625,-6.237259849620682,2018-09-20 00:00:00-04:00,2018-12-24 00:00:00-05:00
2019,3240.02001953125,2447.889892578125,2913.3563804020955,2919.02490234375,2510.030029296875,3230.780029296875,28.878070225158446,2019-12-27 00:00:00-05:00,2019-01-03 00:00:00-05:00
2020,3756.070068359375,2237.39990234375,3217.855848953187,3276.02001953125,3257.85009765625,3756.070068359375,16.258923055706166,2020-12-31 00:00:00-05:00,2020-03-23 00:00:00-04:00
2021,4793.06005859375,3700.64990234375,4273.385634649368,4304.0,3700.64990234375,4766.18017578125,26.892738661371247,2021-12-29 00:00:00-05:00,2021-01-04 00:00:00-05:00
2022,4796.56005859375,3577.030029296875,4098.514747650025,4027.260009765625,4796.56005859375,3839.5,-19.44282720342927,2022-01-03 00:00:00-05:00,2022-10-12 00:00:00-04:00
2023,4179.759765625,3808.10009765625,3996.882212493379,3986.3701171875,3824.139892578125,3971.27001953125,3.4319577947974995,2023-02-02 00:00:00-05:00,2023-01-05 00:00:00-05:00
