M_nm,Max_P_day,Max_P_intra,Min_P_day,Min_P_intra,Avg_P_day,Avg_P_intra,Std_P_day,Std_P_intra
March,6.5530661925327225,8.78521048810295,-5.709927883279171,0.2490965790915139,0.047768927696500874,1.541088871958803,1.32687678033567,1.2704149403767522
April,4.367998314638568,7.768930912432925,-5.827793670488544,0.2828565334337053,0.05406498487776682,1.3066728523344378,1.0607211145501825,0.8870231481136044
May,3.750391687182507,9.550653811863816,-3.2284574840136435,0.18572177097398468,0.02536903387503011,1.2876464659537368,0.9752030421045822,0.8198723434883758
June,2.869143710592281,4.135370995280692,-3.887586496741944,0.214843583501112,-0.0465442063252524,1.247174076697437,0.9648784592611257,0.685285427665813
July,5.731402319612851,8.849011873009294,-3.8352463419651177,0.20734712821504545,0.05798216383151672,1.2404020074775777,1.0102455989065067,0.864098533914007
August,4.668688549670892,7.075972866381609,-6.59335331578452,0.16925796750986974,0.010128997670645266,1.2373812469367866,1.0871653235348275,0.9290090944728034
September,4.72085642331736,9.277661129286601,-8.489988743728862,0.1857688227111773,-0.08111379218021772,1.3620907987992104,1.217834700039824,1.0377157519412958
October,10.789005877973542,11.49797558491965,-8.72309982506855,0.17346711421379252,0.05637165191036705,1.6100679029533407,1.4660599160775767,1.5534732899926387
November,6.8172462358207895,11.520845135881483,-6.630100760608613,0.14574719377504383,0.06636243959819954,1.3284517152559105,1.2399674202448863,1.200638470265196
December,4.778947595472783,8.93966858633827,-8.147552308931406,0.17006425179874046,0.004281534400158548,1.2019104788305117,1.0445585068833034,0.9740715842553924
January,5.009860597069331,5.738181962359148,-5.228101687712124,0.2904530025241531,0.0006219902526161033,1.3421123261474432,1.050587805569064,0.8929563927817733
February,3.82038326199629,5.475157425154266,-4.580850899942392,0.2775104467033794,-0.004081571147989883,1.301764701252299,1.0167350707029927,0.8558355322479871
